Gender,Age,Nutrient,Measurement,Total/day
Male,1-3,Energy,kJ,5500.0
Male,1-3,Protein,g,14.0
Male,1-3,Total water,L,1400.0
Male,1-3,Thiamin (B1),mg,0.5
Male,1-3,Riboflavin (B2),mg,0.5
Male,1-3,Niacin,mg,6.0
Male,1-3,Pyridoxine (B6),mg,0.5
Male,1-3,Cobalamin (B12),μg,0.9
Male,1-3,Vitamin A,μg,300.0
Male,1-3,Vitamin C,mg,35.0
Male,1-3,Vitamin D,μg,5.0
Male,1-3,Vitamin E,mg,5.0
Male,1-3,Calcium,mg,500.0
Male,1-3,Phosphorus,mg,460.0
Male,1-3,Zinc,mg,3.0
Male,1-3,Iron,mg,9.0
Male,1-3,Magnesium,mg,80.0
Male,1-3,Sodium,mg,300.0
Male,1-3,Potassium,mg,2000.0
Female,1-3,Energy,kJ,5500.0
Female,1-3,Protein,g,14.0
Female,1-3,Total water,L,1400.0
Female,1-3,Thiamin (B1),mg,0.5
Female,1-3,Riboflavin (B2),mg,0.5
Female,1-3,Niacin,mg,6.0
Female,1-3,Pyridoxine (B6),mg,0.5
Female,1-3,Cobalamin (B12),μg,0.9
Female,1-3,Vitamin A,μg,300.0
Female,1-3,Vitamin C,mg,35.0
Female,1-3,Vitamin D,μg,5.0
Female,1-3,Vitamin E,mg,5.0
Female,1-3,Calcium,mg,500.0
Female,1-3,Phosphorus,mg,460.0
Female,1-3,Zinc,mg,3.0
Female,1-3,Iron,mg,9.0
Female,1-3,Magnesium,mg,80.0
Female,1-3,Sodium,mg,300.0
Female,1-3,Potassium,mg,2000.0
Male,4-8,Energy,kJ,6400.0
Male,4-8,Protein,g,20.0
Male,4-8,Total water,L,1600.0
Male,4-8,Thiamin (B1),mg,0.6
Male,4-8,Riboflavin (B2),mg,0.6
Male,4-8,Niacin,mg,8.0
Male,4-8,Pyridoxine (B6),mg,0.6
Male,4-8,Cobalamin (B12),μg,1.2
Male,4-8,Vitamin A,μg,400.0
Male,4-8,Vitamin C,mg,35.0
Male,4-8,Vitamin D,μg,5.0
Male,4-8,Vitamin E,mg,6.0
Male,4-8,Calcium,mg,700.0
Male,4-8,Phosphorus,mg,500.0
Male,4-8,Zinc,mg,4.0
Male,4-8,Iron,mg,10.0
Male,4-8,Magnesium,mg,130.0
Male,4-8,Sodium,mg,450.0
Male,4-8,Potassium,mg,2300.0
Female,4-8,Energy,kJ,6400.0
Female,4-8,Protein,g,20.0
Female,4-8,Total water,L,1600.0
Female,4-8,Thiamin (B1),mg,0.6
Female,4-8,Riboflavin (B2),mg,0.6
Female,4-8,Niacin,mg,8.0
Female,4-8,Pyridoxine (B6),mg,0.6
Female,4-8,Cobalamin (B12),μg,1.2
Female,4-8,Vitamin A,μg,400.0
Female,4-8,Vitamin C,mg,35.0
Female,4-8,Vitamin D,μg,5.0
Female,4-8,Vitamin E,mg,6.0
Female,4-8,Calcium,mg,700.0
Female,4-8,Phosphorus,mg,500.0
Female,4-8,Zinc,mg,4.0
Female,4-8,Iron,mg,10.0
Female,4-8,Magnesium,mg,130.0
Female,4-8,Sodium,mg,450.0
Female,4-8,Potassium,mg,2300.0
male,9-13,Energy,kJ,8900.0
male,9-13,Protein,g,40.0
male,9-13,Total water,L,2200.0
male,9-13,Thiamin (B1),mg,0.9
male,9-13,Riboflavin (B2),mg,0.9
male,9-13,Niacin,mg,12.0
male,9-13,Pyridoxine (B6),mg,1.0
male,9-13,Cobalamin (B12),μg,1.8
male,9-13,Vitamin A,μg,600.0
male,9-13,Vitamin C,mg,40.0
male,9-13,Vitamin D,μg,5.0
male,9-13,Vitamin E,mg,9.0
male,9-13,Calcium,mg,1150.0
male,9-13,Phosphorus,mg,1250.0
male,9-13,Zinc,mg,6.0
male,9-13,Iron,mg,8.0
male,9-13,Magnesium,mg,240.0
male,9-13,Sodium,mg,600.0
male,9-13,Potassium,mg,3000.0
male,14-18,Energy,kJ,12000.0
male,14-18,Protein,g,65.0
male,14-18,Total water,L,2700.0
male,14-18,Thiamin (B1),mg,1.2
male,14-18,Riboflavin (B2),mg,1.3
male,14-18,Niacin,mg,16.0
male,14-18,Pyridoxine (B6),mg,1.3
male,14-18,Cobalamin (B12),μg,2.4
male,14-18,Vitamin A,μg,900.0
male,14-18,Vitamin C,mg,40.0
male,14-18,Vitamin D,μg,5.0
male,14-18,Vitamin E,mg,10.0
male,14-18,Calcium,mg,1300.0
male,14-18,Phosphorus,mg,1250.0
male,14-18,Zinc,mg,13.0
male,14-18,Iron,mg,11.0
male,14-18,Magnesium,mg,410.0
male,14-18,Sodium,mg,690.0
male,14-18,Potassium,mg,3600.0
female,9-13,Energy,kJ,8100.0
female,9-13,Protein,g,35.0
female,9-13,Total water,L,1900.0
female,9-13,Thiamin (B1),mg,0.9
female,9-13,Riboflavin (B2),mg,0.9
female,9-13,Niacin,mg,12.0
female,9-13,Pyridoxine (B6),mg,1.0
female,9-13,Cobalamin (B12),μg,1.8
female,9-13,Vitamin A,μg,600.0
female,9-13,Vitamin C,mg,40.0
female,9-13,Vitamin D,μg,5.0
female,9-13,Vitamin E,mg,8.0
female,9-13,Calcium,mg,1150.0
female,9-13,Phosphorus,mg,1250.0
female,9-13,Zinc,mg,6.0
female,9-13,Iron,mg,8.0
female,9-13,Magnesium,mg,240.0
female,9-13,Sodium,mg,600.0
female,9-13,Potassium,mg,2500.0
female,14-18,Energy,kJ,9500.0
female,14-18,Protein,g,45.0
female,14-18,Total water,L,2200.0
female,14-18,Thiamin (B1),mg,1.1
female,14-18,Riboflavin (B2),mg,1.1
female,14-18,Niacin,mg,14.0
female,14-18,Pyridoxine (B6),mg,1.2
female,14-18,Cobalamin (B12),μg,2.4
female,14-18,Vitamin A,μg,700.0
female,14-18,Vitamin C,mg,40.0
female,14-18,Vitamin D,μg,5.0
female,14-18,Vitamin E,mg,8.0
female,14-18,Calcium,mg,1300.0
female,14-18,Phosphorus,mg,1250.0
female,14-18,Zinc,mg,7.0
female,14-18,Iron,mg,15.0
female,14-18,Magnesium,mg,360.0
female,14-18,Sodium,mg,690.0
female,14-18,Potassium,mg,2600.0
male,19-30,Energy,kJ,11800.0
male,19-30,Protein,g,64.0
male,19-30,Total water,L,3400.0
male,19-30,Thiamin (B1),mg,1.2
male,19-30,Riboflavin (B2),mg,1.3
male,19-30,Niacin,mg,16.0
male,19-30,Pyridoxine (B6),mg,1.3
male,19-30,Cobalamin (B12),μg,2.4
male,19-30,Vitamin A,μg,900.0
male,19-30,Vitamin C,mg,45.0
male,19-30,Vitamin D,μg,5.0
male,19-30,Vitamin E,mg,10.0
male,19-30,Calcium,mg,1000.0
male,19-30,Phosphorus,mg,1000.0
male,19-30,Zinc,mg,14.0
male,19-30,Iron,mg,8.0
male,19-30,Magnesium,mg,400.0
male,19-30,Sodium,mg,690.0
male,19-30,Potassium,mg,3800.0
male,31-50,Energy,kJ,11300.0
male,31-50,Protein,g,64.0
male,31-50,Total water,L,3400.0
male,31-50,Thiamin (B1),mg,1.2
male,31-50,Riboflavin (B2),mg,1.3
male,31-50,Niacin,mg,16.0
male,31-50,Pyridoxine (B6),mg,1.3
male,31-50,Cobalamin (B12),μg,2.4
male,31-50,Vitamin A,μg,900.0
male,31-50,Vitamin C,mg,45.0
male,31-50,Vitamin D,μg,5.0
male,31-50,Vitamin E,mg,10.0
male,31-50,Calcium,mg,1000.0
male,31-50,Phosphorus,mg,1000.0
male,31-50,Zinc,mg,14.0
male,31-50,Iron,mg,8.0
male,31-50,Magnesium,mg,420.0
male,31-50,Sodium,mg,690.0
male,31-50,Potassium,mg,3800.0
male,51-70,Energy,kJ,10400.0
male,51-70,Protein,g,64.0
male,51-70,Total water,L,3400.0
male,51-70,Thiamin (B1),mg,1.2
male,51-70,Riboflavin (B2),mg,1.3
male,51-70,Niacin,mg,16.0
male,51-70,Pyridoxine (B6),mg,1.7
male,51-70,Cobalamin (B12),μg,2.4
male,51-70,Vitamin A,μg,900.0
male,51-70,Vitamin C,mg,45.0
male,51-70,Vitamin D,μg,10.0
