database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Cardamom seed, dried, ground",12.36,0.108,0.083,0.002,0.002,0.037,0.002,0,0.04,0.21,0,0.029,3.83,1.78,0.075,0.14,2.29,0.18,11.19
"Chilli (chili), dried, ground",12.8,0.134,0.108,0.003,0.009,0.128,0.021,0,25,0.01,0,0.381,3.3,3,0.043,0.173,1.49,28.67,19.5
"Cinnamon, dried, ground",10.04,0.04,0.106,0,0,0.022,0.002,0,0.19,0.04,0,0.023,10.02,0.64,0.018,0.083,0.6,0.1,4.31
"Cloves, dried, ground",13.89,0.06,0.099,0.002,0.002,0.021,0.004,0,0.08,0,0,0.088,6.32,1.04,0.023,0.118,2.59,2.77,10.2
"Coriander seed, dried, ground",13.44,0.124,0.089,0.002,0.003,0.052,0,0,0.2,0.21,0,0.009,7.09,4.09,0.047,0.163,3.3,0.35,12.67
"Cumin (cummin) seed, dried, ground",17.82,0.178,0.081,0.006,0.003,0.089,0.004,0,1.27,0.08,0,0.033,9.31,4.99,0.048,0.664,3.66,1.68,17.88
Curry powder,12.31,0.143,0.088,0.002,0.002,0.051,0.001,0,0.02,0.01,0,0.252,5.25,3.67,0.047,0.191,2.55,0.52,11.7
"Fenugreek seed, dried",10.8,0.23,0.088,0.003,0.004,0.073,0.006,0,0.24,0.03,0,0,1.76,2.96,0.025,0.335,1.91,0.67,7.7
"Ginger, dried, ground",13.97,0.09,0.099,0,0.002,0.122,0.006,0,0.03,0.01,0,0,1.14,1.68,0.036,0.198,2.14,0.27,13.2
Mustard powder,22.89,0.294,0.043,0.013,0,0.107,0.004,0,0.06,0.07,0,0.051,1.6,7.3,0.049,0.07,3.1,0.03,6.5
"Nutmeg, dried, ground",20.9,0.058,0.062,0.003,0.001,0.025,0.002,0,0.05,0.03,0,0,1.84,2.13,0.022,0.03,1.83,0.16,3.5
"Oregano, dried",10.96,0.09,0.099,0.002,0.005,0.081,0.01,0,1.68,0.02,0,0.183,15.97,1.48,0.027,0.368,2.7,0.25,12.6
"Paprika, dry powder",13.11,0.141,0.112,0.003,0.012,0.113,0.021,0,43.6,0.01,0,0.291,2.29,3.14,0.043,0.211,1.78,0.68,22.8
"Pepper, black, ground",11.56,0.104,0.125,0.001,0.002,0.02,0.003,0,0.52,0,0,0.01,4.43,1.58,0.012,0.097,1.71,0.2,13.29
"Rosemary, dried",13.14,0.049,0.093,0.005,0.004,0.027,0.017,0,3.13,0.61,0,0.075,12.8,0.7,0.032,0.293,2.2,0.5,9.55
"Sage, dried",13.2,0.106,0.08,0.008,0.003,0.098,0.027,0,5.81,0.32,0,0.075,16.52,0.91,0.047,0.281,4.28,0.11,10.7
"Thyme, dried, ground",11.82,0.091,0.078,0.005,0.004,0.081,0.006,0,3.77,0.5,0,0.075,18.9,2.01,0.062,1.236,2.2,0.55,8.14
"Turmeric, dried, ground",12.19,0.097,0.128,0.001,0.002,0.042,0.018,0,0,0.01,0,0.044,1.68,2.99,0.045,0.55,2.08,0.27,20.8
"Salt substitute, potassium chloride",0,0,0.002,0,0,0,0,0,0,0,0,0,0.34,0.03,0.001,0,0.01,0.33,500.09
"Salt, table, iodised",0,0,0.002,0,0,0,0,0,0,0,0,0,0.34,0.03,0.001,0,0.01,381.68,0.98
"Salt, table, non-iodised",0,0,0.002,0,0,0,0,0,0,0,0,0,0.34,0.03,0.001,0,0.01,381.78,0.17
"Stock, dry powder or cube",9,0.113,0.036,0.001,0.001,0.047,0.001,0,0.04,0,0,0,0.71,2,0.004,0.025,0.25,184,2.5
"Taco seasoning mix, chilli-based",10.1,0.059,0.068,0.001,0.003,0.022,0.003,0,2.33,0,0,0.037,2.4,2,0.009,0.063,0.76,93.5,7
"Baking powder, dry powder",3.64,0.008,0.04,0,0,0.006,0,0,0,0,0,0.001,0.06,0.29,0.004,0.02,0.09,68.68,82.67
"Baking soda (bicarbonate), dry powder",0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.6,0
"Cream of tartar, dry powder",0.02,0,0.017,0,0,0,0,0,0,0,0,0,0.08,0.05,0.004,0.037,0.02,0.52,165
"Gelatine, all types",14.49,0.844,0.11,0,0,0.003,0,0,0,0,0,0,2.5,0.32,0.004,0.021,0.15,3.3,0.07
"Gluten, from wheat (vital wheat gluten)",15.07,0.752,0.082,0,0,0.135,0,0,0,0,0,0,1.42,2.6,0.009,0.052,0.25,0.29,1
"Starch, potato",13.32,0,0.191,0,0,0,0.008,0,0,0,0,0.003,0.14,1.02,0.001,0.003,0.05,0.09,0.43
"Vanilla, artificial or imitation",2.31,0,0.856,0,0,0.001,0,0,0,0,0,0,0.03,0,0,0.001,0.01,0.03,0
Vanilla bean extract,12.03,0.001,0.526,0,0.001,0.004,0,0,0,0,0,0,0.11,0.06,0.001,0.001,0.12,0.09,1.48
"Yeast, dry powder",11.26,0.364,0.06,0.006,0.001,0.341,0.008,0,0,0,0,0,0.18,8.6,0.18,0.035,0.95,1.7,14.7
"Beer, high alcohol (5% v/v & above)",1.74,0.005,0.919,0,0,0.001,0,0,0,0,0,0,0.04,0.23,0,0,0.09,0.04,0.55
"Beer, full strength (alcohol 4-4.9% v/v)",1.52,0.004,0.93,0,0,0,0,0,0,0,0,0,0.04,0.16,0,0,0.06,0.04,0.36
